1 1:2 2:0.949985 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.0353 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950077 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.0036 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.95019 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.9174 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950223 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8871 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.95036 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8104 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950652 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.7746 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950836 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.7473 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950738 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.7336 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950679 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.7416 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950662 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.7739 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950734 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.7616 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950826 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.7895 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950909 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.7989 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950943 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.858 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950888 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8495 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.95083 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8403 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950747 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8302 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950674 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8312 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.95062 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8422 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
